"Account No";"Date";"Payment Reason";"Recipient";"Amount"
123456;01.01.2016;"Salary";;2000
123456;01.01.2016;"Grocery";;-27
123456;01.01.2016;"unicef";;-50,00
123456;01.01.2016;"Insurance";;-150,00
123456;01.01.2016;"Misc";;-88,00
123456;04.01.2016;"Misc";;-61,00
123456;08.01.2016;"Rent";;-500,00
123456;10.01.2016;"Fuel";;-47,00
123456;18.01.2016;"Misc";;-94,00
123456;22.01.2016;"Fuel";;-62,00
123456;30.01.2016;"Fuel";;-54,00
123456;01.02.2016;"Salary";;2000,00
123456;01.02.2016;"Insurance";;-30
123456;08.02.2016;"Rent";;-500,00
123456;10.02.2016;"Misc";;-57,00
123456;12.02.2016;"Grocery";;-43,00
123456;17.02.2016;"Fuel";;-57,00
123456;19.02.2016;"Misc";;-101,00
123456;01.03.2016;"Salary";;2000,00
123456;01.03.2016;"unicef";;-50,00
123456;01.03.2016;"Insurance";;-30,00
123456;02.03.2016;"Misc";;-68
123456;08.03.2016;"Rent";;-500,00
123456;10.03.2016;"Grocery";;-33,00
123456;12.03.2016;"Fuel";;-57,00
123456;21.03.2016;"Misc";;-45,00
123456;31.03.2016;"Misc";;-6,00
123456;01.04.2016;"Salary";;2000,00
123456;01.04.2016;"Insurance";;-30,00
123456;05.04.2016;"Misc";;-42,00
123456;06.04.2016;"Grocery";;-21,00
123456;08.04.2016;"Rent";;-500,00
123456;08.04.2016;"Fuel";;-52,00
123456;13.04.2016;"Fuel";;-41
123456;24.04.2016;"Fuel";;-53,00
123456;27.04.2016;"Misc";;-93,00
123456;01.05.2016;"Salary";;2000,00
123456;01.05.2016;"unicef";;-50
123456;01.05.2016;"Insurance";;-30,00
123456;08.05.2016;"Rent";;-500,00
123456;16.05.2016;"Grocery";;-42,00
123456;17.05.2016;"Fuel";;-63,00
123456;26.05.2016;"Misc";;-61,00
123456;01.06.2016;"Salary";;2000,00
123456;01.06.2016;"Insurance";;-30,00
123456;04.06.2016;"Fuel";;-42,00
123456;08.06.2016;"Rent";;-500,00
123456;09.06.2016;"Grocery";;-26,00
123456;17.06.2016;"Misc";;-55,00
123456;24.06.2016;"Garage";;-800,00
123456;01.07.2016;"Salary";;2100,00
123456;01.07.2016;"unicef";;-50,00
123456;01.07.2016;"Insurance";;-30,00
123456;08.07.2016;"Rent";;-500,00
123456;11.07.2016;"Fuel";;-51,00
123456;15.07.2016;"Grocery";;-29,00
123456;17.07.2016;"Misc";;-81,00
123456;26.07.2016;"Fuel";;-48,00
123456;01.08.2016;"Salary";;2100,00
123456;01.08.2016;"Insurance";;-30,00
123456;02.08.2016;"Misc";;-64,00
123456;07.08.2016;"Misc";;-15,00
123456;08.08.2016;"Rent";;-500,00
123456;08.08.2016;"Fuel";;-53,00
123456;18.08.2016;"Grocery";;-21,00
123456;25.08.2016;"Fuel";;-40
123456;01.09.2016;"Salary";;2100,00
123456;01.09.2016;"unicef";;-50,00
123456;01.09.2016;"Insurance";;-30,00
123456;03.09.2016;"Grocery";;-45,00
123456;04.09.2016;"Misc";;-46,00
123456;08.09.2016;"Rent";;-500,00
123456;13.09.2016;"Misc";;-98
123456;15.09.2016;"Fuel";;-53,00
123456;01.10.2016;"Salary";;2100,00
123456;01.10.2016;"Insurance";;-30,00
123456;03.10.2016;"Misc";;-61,00
123456;08.10.2016;"Rent";;-500
123456;13.10.2016;"Fuel";;-43,00
123456;15.10.2016;"Grocery";;-43,00
123456;15.10.2016;"Grocery";;-32
123456;20.10.2016;"Misc";;-8,00
123456;23.10.2016;"Misc";;-56,00
123456;01.11.2016;"Salary";;2900
123456;01.11.2016;"unicef";;-100,00
123456;01.11.2016;"Insurance";;-30,00
123456;03.11.2016;"Grocery";;-41,00
123456;05.11.2016;"Fuel";;-61,00
123456;08.11.2016;"Rent";;-500,00
123456;15.11.2016;"Misc";;-50,00
123456;21.11.2016;"Misc";;-85,00
123456;22.11.2016;"Fuel";;-63,00
123456;30.11.2016;"Fuel";;-64,00
123456;01.12.2016;"Salary";;2100,00
123456;01.12.2016;"Insurance";;-30,00
123456;06.12.2016;"Misc";;-86,00
123456;08.12.2016;"Grocery";;-44,00
123456;08.12.2016;"Rent";;-500,00
123456;12.12.2016;"Misc";;-49
123456;19.12.2016;"Fuel";;-63,00
123456;25.12.2016;"Misc";;-25,00
123456;31.12.2016;"Fuel";;-44
123456;31.12.2016;"Misc";;-9,00
123456;01.01.2017;"Salary";;2100,00
123456;01.01.2017;"unicef";;-50,00
123456;01.01.2017;"Insurance";;-160
123456;05.01.2017;"Grocery";;-24,00
123456;08.01.2017;"Rent";;-500,00
123456;19.01.2017;"Fuel";;-47,00
123456;25.01.2017;"Misc";;-66,00
123456;01.02.2017;"Salary";;2100,00
123456;01.02.2017;"Insurance";;-30,00
123456;02.02.2017;"Fuel";;-57,00
123456;08.02.2017;"Rent";;-500,00
123456;10.02.2017;"Fuel";;-52,00
123456;11.02.2017;"Fuel";;-41,00
123456;16.02.2017;"Misc";;-25,00
123456;22.02.2017;"Grocery";;-42,00
123456;28.02.2017;"Misc";;-77,00
123456;01.03.2017;"Salary";;2200,00
123456;01.03.2017;"unicef";;-50,00
123456;01.03.2017;"Insurance";;-30,00
123456;06.03.2017;"Fuel";;-58,00
123456;08.03.2017;"Rent";;-500,00
123456;13.03.2017;"Fuel";;-49,00
123456;21.03.2017;"Grocery";;-23,00
123456;26.03.2017;"Misc";;-17,00
123456;01.04.2017;"Salary";;2200,00
123456;01.04.2017;"Insurance";;-30,00
123456;08.04.2017;"Rent";;-500,00
123456;08.04.2017;"Fuel";;-56,00
123456;12.04.2017;"Grocery";;-37,00
123456;22.04.2017;"Misc";;-38,00
123456;23.04.2017;"Fuel";;-53
123456;30.04.2017;"Grocery";;-41,00
123456;01.05.2017;"Salary";;2200,00
123456;01.05.2017;"unicef";;-50,00
